module	module_size	cluster_type	tissues	n_tissues	dominant_tissue	n_genes_ac	n_genes_dlpfc	n_genes_pcg	proportion_ac	proportion_dlpfc	proportion_pcg
918	244	CT	AC, DLPFC, PCG	3	DLPFC	55	108	81	0.2254098361	0.4426229508	0.3319672131
921	104	CT	AC, DLPFC, PCG	3	PCG	9	22	73	0.08653846154	0.2115384615	0.7019230769
923	228	CT	AC, DLPFC, PCG	3	PCG	70	74	84	0.3070175439	0.3245614035	0.3684210526
924	259	CT	AC, DLPFC, PCG	3	DLPFC	85	89	85	0.3281853282	0.3436293436	0.3281853282
925	215	CT	AC, DLPFC, PCG	3	DLPFC	37	123	55	0.1720930233	0.5720930233	0.2558139535
930	41	CT	AC, DLPFC, PCG	3	PCG	4	6	31	0.09756097561	0.1463414634	0.756097561
932	76	CT	AC, DLPFC, PCG	3	DLPFC	24	26	26	0.3157894737	0.3421052632	0.3421052632
933	91	CT	AC, DLPFC, PCG	3	DLPFC	5	84	2	0.05494505495	0.9230769231	0.02197802198
935	527	CT	AC, DLPFC, PCG	3	PCG	137	188	202	0.2599620493	0.3567362429	0.3833017078
937	431	CT	AC, DLPFC, PCG	3	DLPFC	135	182	114	0.313225058	0.4222737819	0.2645011601
938	754	CT	AC, DLPFC, PCG	3	PCG	241	249	264	0.3196286472	0.3302387268	0.350132626
947	164	CT	AC, DLPFC, PCG	3	PCG	53	49	62	0.3231707317	0.2987804878	0.3780487805
951	513	CT	AC, DLPFC, PCG	3	DLPFC	164	175	174	0.3196881092	0.3411306043	0.3391812865
954	534	CT	AC, DLPFC, PCG	3	AC	187	160	187	0.3501872659	0.2996254682	0.3501872659
958	565	CT	AC, DLPFC, PCG	3	DLPFC	180	216	169	0.3185840708	0.382300885	0.2991150442
959	743	CT	AC, DLPFC, PCG	3	DLPFC	198	319	226	0.266487214	0.4293405114	0.3041722746
960	387	CT	AC, DLPFC, PCG	3	AC	183	45	159	0.4728682171	0.1162790698	0.4108527132
962	105	CT	AC, DLPFC, PCG	3	DLPFC	13	82	10	0.1238095238	0.780952381	0.09523809524
1053	155	CT	AC, DLPFC, PCG	3	AC	99	16	40	0.6387096774	0.1032258065	0.2580645161
1056	195	CT	AC, DLPFC, PCG	3	AC	129	16	50	0.6615384615	0.08205128205	0.2564102564
1058	153	CT	AC, DLPFC, PCG	3	AC	73	23	57	0.477124183	0.1503267974	0.3725490196
1059	63	CT	AC, PCG	2	AC	55	0	8	0.873015873	0	0.126984127
1060	174	CT	AC, DLPFC, PCG	3	AC	98	30	46	0.5632183908	0.1724137931	0.2643678161
1063	235	CT	AC, DLPFC, PCG	3	DLPFC	37	163	35	0.1574468085	0.6936170213	0.1489361702
1064	178	CT	AC, DLPFC, PCG	3	DLPFC	47	76	55	0.2640449438	0.4269662921	0.308988764
1065	228	CT	AC, DLPFC, PCG	3	DLPFC	38	99	91	0.1666666667	0.4342105263	0.399122807
1067	478	CT	AC, DLPFC, PCG	3	DLPFC	126	213	139	0.2635983264	0.4456066946	0.2907949791
1070	96	CT	AC, DLPFC, PCG	3	PCG	9	3	84	0.09375	0.03125	0.875
1072	112	CT	AC, DLPFC, PCG	3	PCG	29	22	61	0.2589285714	0.1964285714	0.5446428571
1073	117	CT	AC, DLPFC, PCG	3	PCG	29	12	76	0.2478632479	0.1025641026	0.6495726496
1074	417	CT	AC, DLPFC, PCG	3	AC	161	128	128	0.3860911271	0.3069544365	0.3069544365
1075	696	CT	AC, DLPFC, PCG	3	AC	262	222	212	0.3764367816	0.3189655172	0.3045977011
1077	313	CT	AC, DLPFC, PCG	3	AC	142	87	84	0.4536741214	0.2779552716	0.268370607
1078	86	CT	AC, DLPFC, PCG	3	DLPFC	14	49	23	0.1627906977	0.5697674419	0.2674418605
1085	419	CT	AC, DLPFC, PCG	3	DLPFC	126	149	144	0.3007159905	0.3556085919	0.3436754177
1086	35	CT	AC, DLPFC, PCG	3	AC	14	11	10	0.4	0.3142857143	0.2857142857
1088	586	CT	AC, DLPFC, PCG	3	DLPFC	177	223	186	0.3020477816	0.3805460751	0.3174061433
1091	155	CT	AC, DLPFC, PCG	3	DLPFC	48	81	26	0.3096774194	0.5225806452	0.1677419355
1095	486	CT	AC, DLPFC, PCG	3	AC	173	171	142	0.3559670782	0.3518518519	0.29218107
1096	30	CT	AC, DLPFC, PCG	3	DLPFC	9	16	5	0.3	0.5333333333	0.1666666667
1097	492	CT	AC, DLPFC, PCG	3	AC	179	169	144	0.3638211382	0.343495935	0.2926829268
1106	397	CT	AC, DLPFC, PCG	3	DLPFC	102	153	142	0.2569269521	0.3853904282	0.3576826196
1110	460	CT	AC, DLPFC, PCG	3	DLPFC	123	170	167	0.2673913043	0.3695652174	0.3630434783
1112	473	CT	AC, DLPFC, PCG	3	AC	209	88	176	0.4418604651	0.1860465116	0.3720930233
1115	279	CT	AC, DLPFC, PCG	3	PCG	89	87	103	0.3189964158	0.311827957	0.3691756272
1116	399	CT	AC, DLPFC, PCG	3	PCG	143	96	160	0.35839599	0.2406015038	0.4010025063
1117	194	CT	AC, DLPFC, PCG	3	DLPFC	49	74	71	0.2525773196	0.381443299	0.3659793814
1120	507	CT	AC, DLPFC, PCG	3	PCG	157	171	179	0.3096646943	0.3372781065	0.3530571992
1127	57	CT	AC, PCG	2	AC	52	0	5	0.9122807018	0	0.08771929825
1128	36	CT	AC, DLPFC, PCG	3	AC	31	1	4	0.8611111111	0.02777777778	0.1111111111
1129	55	CT	AC, DLPFC, PCG	3	AC	43	4	8	0.7818181818	0.07272727273	0.1454545455
1130	68	CT	AC, DLPFC, PCG	3	AC	58	2	8	0.8529411765	0.02941176471	0.1176470588
1131	99	CT	AC, DLPFC, PCG	3	AC	64	2	33	0.6464646465	0.0202020202	0.3333333333
1133	138	CT	AC, DLPFC, PCG	3	AC	87	5	46	0.6304347826	0.03623188406	0.3333333333
1135	155	CT	AC, DLPFC, PCG	3	AC	101	11	43	0.6516129032	0.07096774194	0.2774193548
1138	76	CT	AC, DLPFC, PCG	3	PCG	26	23	27	0.3421052632	0.3026315789	0.3552631579
1139	82	CT	AC, DLPFC, PCG	3	AC	47	19	16	0.5731707317	0.2317073171	0.1951219512
1142	120	CT	AC, DLPFC, PCG	3	AC	48	32	40	0.4	0.2666666667	0.3333333333
1143	81	CT	AC, DLPFC, PCG	3	AC	33	27	21	0.4074074074	0.3333333333	0.2592592593
1145	54	CT	AC, DLPFC, PCG	3	AC	27	6	21	0.5	0.1111111111	0.3888888889
1147	73	CT	AC, DLPFC, PCG	3	PCG	27	14	32	0.3698630137	0.1917808219	0.4383561644
1148	89	CT	AC, DLPFC, PCG	3	AC	59	12	18	0.6629213483	0.1348314607	0.202247191
1150	57	CT	AC, DLPFC, PCG	3	AC	22	15	20	0.3859649123	0.2631578947	0.350877193
