module	annotation_available	top_category	top_subcategory	top_pathway	top_pathway_id	top_fdr	top_significant	priority_theme	priority_category	priority_subcategory	priority_pathway	priority_pathway_id	priority_fdr	priority_significant	priority_is_top	displayed_selection	displayed_category	displayed_subcategory	displayed_pathway	displayed_pathway_id	displayed_fdr	subtitle_text
755	True	Genetic Information Processing	Translation	Ribosome	hsa03010	1.28317840704321e-32	True	infection	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19	hsa05171	1.0181978252890602e-31	True	False	priority_significant_lowest_fdr	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19	hsa05171	1.0181978252890602e-31	KEGG enrichment: Human Diseases / Infectious disease: viral / Coronavirus disease - COVID-19 | FDR=1.02e-31
757	True	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	hsa00970	0.999993791288807	False							False	False	overall_lowest_fdr	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	hsa00970	0.999993791288807	KEGG enrichment: Genetic Information Processing / Translation / Aminoacyl-tRNA biosynthesis | FDR=1.000
763	True	Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer	hsa05235	0.117311013324358	False							False	False	overall_lowest_fdr	Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer	hsa05235	0.117311013324358	KEGG enrichment: Human Diseases / Cancer: overview / PD-L1 expression and PD-1 checkpoint pathway in cancer | FDR=0.117
768	True	Genetic Information Processing	Replication and repair	Non-homologous end-joining	hsa03450	0.0365534871347876	True							False	False	overall_lowest_fdr	Genetic Information Processing	Replication and repair	Non-homologous end-joining	hsa03450	0.0365534871347876	KEGG enrichment: Genetic Information Processing / Replication and repair / Non-homologous end-joining | FDR=0.037
771	True	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	hsa00970	0.0330344969336261	True							False	False	overall_lowest_fdr	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	hsa00970	0.0330344969336261	KEGG enrichment: Genetic Information Processing / Translation / Aminoacyl-tRNA biosynthesis | FDR=0.033
772	True	Genetic Information Processing	Replication and repair	Base excision repair	hsa03410	0.11382535453537	False							False	False	overall_lowest_fdr	Genetic Information Processing	Replication and repair	Base excision repair	hsa03410	0.11382535453537	KEGG enrichment: Genetic Information Processing / Replication and repair / Base excision repair | FDR=0.114
787	True	Metabolism	Lipid metabolism	Fatty acid biosynthesis	hsa00061	0.292543474376463	False							False	False	overall_lowest_fdr	Metabolism	Lipid metabolism	Fatty acid biosynthesis	hsa00061	0.292543474376463	KEGG enrichment: Metabolism / Lipid metabolism / Fatty acid biosynthesis | FDR=0.293
788	True	Genetic Information Processing	Translation	Nucleocytoplasmic transport	hsa03013	1.9711506479864e-05	True							False	False	overall_lowest_fdr	Genetic Information Processing	Translation	Nucleocytoplasmic transport	hsa03013	1.9711506479864e-05	KEGG enrichment: Genetic Information Processing / Translation / Nucleocytoplasmic transport | FDR=1.97e-05
792	True	Organismal Systems	Nervous system	Neurotrophin signaling pathway	hsa04722	0.149055829322058	False							False	False	overall_lowest_fdr	Organismal Systems	Nervous system	Neurotrophin signaling pathway	hsa04722	0.149055829322058	KEGG enrichment: Organismal Systems / Nervous system / Neurotrophin signaling pathway | FDR=0.149
794	True	Human Diseases	Infectious disease: bacterial	Salmonella infection	hsa05132	0.230183993068804	False							False	False	overall_lowest_fdr	Human Diseases	Infectious disease: bacterial	Salmonella infection	hsa05132	0.230183993068804	KEGG enrichment: Human Diseases / Infectious disease: bacterial / Salmonella infection | FDR=0.230
795	True	Genetic Information Processing	Replication and repair	Base excision repair	hsa03410	0.0794313659271287	False							False	False	overall_lowest_fdr	Genetic Information Processing	Replication and repair	Base excision repair	hsa03410	0.0794313659271287	KEGG enrichment: Genetic Information Processing / Replication and repair / Base excision repair | FDR=0.079
798	True	Genetic Information Processing	Translation	Ribosome	hsa03010	0.0702457618942076	False							False	False	overall_lowest_fdr	Genetic Information Processing	Translation	Ribosome	hsa03010	0.0702457618942076	KEGG enrichment: Genetic Information Processing / Translation / Ribosome | FDR=0.070
799	False						False							False	False	unavailable						KEGG enrichment: not available
802	True	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	hsa04080	0.0020998120127984	True							False	False	overall_lowest_fdr	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	hsa04080	0.0020998120127984	KEGG enrichment: Environmental Information Processing / Signaling molecules and interaction / Neuroactive ligand-receptor interaction | FDR=0.002
805	True	Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism	hsa00785	0.113909632795926	False							False	False	overall_lowest_fdr	Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism	hsa00785	0.113909632795926	KEGG enrichment: Metabolism / Metabolism of cofactors and vitamins / Lipoic acid metabolism | FDR=0.114
807	True	Human Diseases	Cancer: specific types	Breast cancer	hsa05224	0.147860974087235	False							False	False	overall_lowest_fdr	Human Diseases	Cancer: specific types	Breast cancer	hsa05224	0.147860974087235	KEGG enrichment: Human Diseases / Cancer: specific types / Breast cancer | FDR=0.148
808	True	Organismal Systems	Digestive system	Protein digestion and absorption	hsa04974	0.0017435899668951	True							False	False	overall_lowest_fdr	Organismal Systems	Digestive system	Protein digestion and absorption	hsa04974	0.0017435899668951	KEGG enrichment: Organismal Systems / Digestive system / Protein digestion and absorption | FDR=0.002
809	False						False							False	False	unavailable						KEGG enrichment: not available
856	True	Organismal Systems	Nervous system	Glutamatergic synapse	hsa04724	5.47221347439627e-07	True							False	False	overall_lowest_fdr	Organismal Systems	Nervous system	Glutamatergic synapse	hsa04724	5.47221347439627e-07	KEGG enrichment: Organismal Systems / Nervous system / Glutamatergic synapse | FDR=5.47e-07
867	True	Organismal Systems	Nervous system	Synaptic vesicle cycle	hsa04721	2.4090692334993e-07	True							False	False	overall_lowest_fdr	Organismal Systems	Nervous system	Synaptic vesicle cycle	hsa04721	2.4090692334993e-07	KEGG enrichment: Organismal Systems / Nervous system / Synaptic vesicle cycle | FDR=2.41e-07
881	True	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	hsa00562	0.000342228935523	True	metabolism	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	hsa00562	0.000342228935523	True	True	priority_significant_lowest_fdr	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	hsa00562	0.000342228935523	KEGG enrichment: Metabolism / Carbohydrate metabolism / Inositol phosphate metabolism | FDR=3.42e-04
884	True	Environmental Information Processing	Signal transduction	cAMP signaling pathway	hsa04024	0.0021272625832491	True							False	False	overall_lowest_fdr	Environmental Information Processing	Signal transduction	cAMP signaling pathway	hsa04024	0.0021272625832491	KEGG enrichment: Environmental Information Processing / Signal transduction / cAMP signaling pathway | FDR=0.002
901	True	Environmental Information Processing	Signal transduction	cAMP signaling pathway	hsa04024	0.0328874292305305	True							False	False	overall_lowest_fdr	Environmental Information Processing	Signal transduction	cAMP signaling pathway	hsa04024	0.0328874292305305	KEGG enrichment: Environmental Information Processing / Signal transduction / cAMP signaling pathway | FDR=0.033
