cluster_id	cluster_size_expanded	term	p	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	fdr	significant	neglog10_p	neglog10_fdr	pathway_id	pathway_num	pathway_name	category_level1	category_level2
1063	235	KEGG_hsa04260	0.0164149620102084	4	213	71	51873	3	1	3	0	ENSG00000010256(DLPFC),ENSG00000118729(AC),ENSG00000131174(DLPFC),ENSG00000140740(DLPFC)	0.0354217601272919	True	1.7847601180382615	1.450729862271355	hsa04260	4260	Cardiac muscle contraction - Homo sapiens (human)	Organismal Systems	Circulatory system
18	177	KEGG_hsa03250	0.0230333781467797	3	177	59	51873	3	0	2	1	ENSG00000101347(DLPFC),ENSG00000160791(DLPFC),ENSG00000160791(PCGBA23)	0.0354640901625021	True	1.6376423623868428	1.4502111775741795	hsa03250	3250	Viral life cycle - HIV-1 - Homo sapiens (human)	Genetic Information Processing	Information processing in viruses
492	200	KEGG_hsa05200	0.006932231299963	12	1362	454	51873	3	6	2	4	ENSG00000085871(PCGBA23),ENSG00000116044(AC),ENSG00000122008(AC),ENSG00000126767(PCGBA23),ENSG00000145386(AC),ENSG00000158815(PCGBA23),ENSG00000160867(DLPFC),ENSG00000162337(PCGBA23),ENSG00000166813(AC),ENSG00000175029(AC),ENSG00000175029(DLPFC),ENSG00000181019(AC)	0.0355276854123107	True	2.159126955100969	1.4494330853731776	hsa05200	5200	Pathways in cancer - Homo sapiens (human)	Human Diseases	Cancer: overview
68	192	KEGG_hsa04917	0.0259846252595059	3	171	57	51873	3	0	1	2	ENSG00000096968(PCGBA23),ENSG00000117461(DLPFC),ENSG00000117461(PCGBA23)	0.0355421885733472	True	1.5852835420276616	1.4492558332537495	hsa04917	4917	Prolactin signaling pathway - Homo sapiens (human)	Organismal Systems	Endocrine system
1110	460	KEGG_hsa05321	0.0044428052450057	5	120	40	51873	3	1	2	2	ENSG00000115415(DLPFC),ENSG00000115415(PCGBA23),ENSG00000168811(AC),ENSG00000168811(DLPFC),ENSG00000168811(PCGBA23)	0.0355424419600461	True	2.3523427240927184	1.449252737100775	hsa05321	5321	Inflammatory bowel disease - Homo sapiens (human)	Human Diseases	Immune disease
11	465	KEGG_hsa04216	0.018010601191177	4	111	37	51873	3	3	0	1	ENSG00000100292(AC),ENSG00000100292(PCGBA23),ENSG00000115107(AC),ENSG00000165168(AC)	0.0356573518532394	True	1.744471790253588	1.4478509134946618	hsa04216	4216	Ferroptosis - Homo sapiens (human)	Cellular Processes	Cell growth and death
54	376	KEGG_hsa04934	0.0112730247468841	8	414	138	51873	3	3	1	4	ENSG00000073060(PCGBA23),ENSG00000096433(AC),ENSG00000096433(PCGBA23),ENSG00000123374(AC),ENSG00000123374(PCGBA23),ENSG00000129467(DLPFC),ENSG00000174804(AC),ENSG00000174804(PCGBA23)	0.0356637510174154	True	1.947959539621126	1.4477729808327702	hsa04934	4934	Cushing syndrome - Homo sapiens (human)	Human Diseases	Endocrine and metabolic disease
951	513	KEGG_hsa01100	0.0041971197293103	56	3942	1314	51873	3	13	21	22	ENSG00000006757(AC),ENSG00000006757(PCGBA23),ENSG00000014919(DLPFC),ENSG00000014919(PCGBA23),ENSG00000015532(DLPFC),ENSG00000066926(DLPFC),ENSG00000080166(DLPFC),ENSG00000087111(PCGBA23),ENSG00000104524(PCGBA23),ENSG00000104812(DLPFC),ENSG00000104812(PCGBA23),ENSG00000106692(AC),ENSG00000106692(DLPFC),ENSG00000106692(PCGBA23),ENSG00000108799(DLPFC),ENSG00000112972(AC),ENSG00000115361(DLPFC),ENSG00000116157(AC),ENSG00000116459(AC),ENSG00000116459(DLPFC),ENSG00000116649(DLPFC),ENSG00000116761(DLPFC),ENSG00000116761(PCGBA23),ENSG00000128928(DLPFC),ENSG00000131730(PCGBA23),ENSG00000132570(PCGBA23),ENSG00000133027(AC),ENSG00000133027(DLPFC),ENSG00000133027(PCGBA23),ENSG00000133313(PCGBA23),ENSG00000133805(PCGBA23),ENSG00000135094(AC),ENSG00000136908(PCGBA23),ENSG00000140905(AC),ENSG00000140905(DLPFC),ENSG00000140905(PCGBA23),ENSG00000141959(PCGBA23),ENSG00000143811(AC),ENSG00000149084(DLPFC),ENSG00000149084(PCGBA23),ENSG00000149809(AC),ENSG00000149809(PCGBA23),ENSG00000155189(PCGBA23),ENSG00000162882(DLPFC),ENSG00000164978(DLPFC),ENSG00000164978(PCGBA23),ENSG00000166532(PCGBA23),ENSG00000171174(AC),ENSG00000172456(DLPFC),ENSG00000177465(DLPFC),ENSG00000178445(DLPFC),ENSG00000178445(PCGBA23),ENSG00000178802(AC),ENSG00000180089(DLPFC),ENSG00000187097(AC),ENSG00000187097(PCGBA23)	0.0356755176991381	True	2.3770486416922143	1.4476297159779217	hsa01100	1100	Metabolic pathways - Homo sapiens (human)	Metabolism	Global and overview maps
487	87	KEGG_hsa05160	0.0224008763116737	3	357	119	51873	3	2	0	1	ENSG00000089127(AC),ENSG00000089127(PCGBA23),ENSG00000171608(AC)	0.0358414020986779	True	1.6497349919390418	1.445615009283117	hsa05160	5160	Hepatitis C - Homo sapiens (human)	Human Diseases	Infectious disease: viral
1097	489	KEGG_hsa05340	0.0041599825598158	4	69	23	51873	3	1	1	2	ENSG00000115085(DLPFC),ENSG00000115085(PCGBA23),ENSG00000143390(AC),ENSG00000269335(PCGBA23)	0.0359271221075006	True	2.380908490092394	1.4445775699617716	hsa05340	5340	Primary immunodeficiency - Homo sapiens (human)	Human Diseases	Immune disease
