module	module_size_mapped	n_ts_edges	n_ct_edges	mdc_total	log2_mdc_total	direction_total	directional_fdr_total	significant_total_fdr05	significant_total_fdr10	mdc_ts	log2_mdc_ts	direction_ts	directional_fdr_ts	significant_ts_fdr05	significant_ts_fdr10	mdc_ct	log2_mdc_ct	direction_ct	directional_fdr_ct	significant_ct_fdr05	significant_ct_fdr10	ts_minus_ct_log2_mdc	any_significant_fdr05	any_significant_fdr10
461	87	1561	2180	0.836568	-0.2574452811323587	Higher in Control	0.01285	True	True	0.955305	-0.06596667929171235	Higher in Control	0.2003	False	False	0.582489	-0.7796972894042106	Higher in Control	0.005541	True	True	0.7137306101124983	True	True
462	185	5614	11406	0.636813	-0.6510583073033883	Higher in Control	0.006657	True	True	0.93923	-0.09044960449731754	Higher in Control	0.05182	False	True	0.518727	-0.9469526302326068	Higher in Control	0.005541	True	True	0.8565030257352892	True	True
463	102	1920	3231	0.828427	-0.27155352040749253	Higher in Control	0.006657	True	True	0.874611	-0.19328660154981853	Higher in Control	0.02333	True	True	0.758773	-0.39825975174569483	Higher in Control	0.005541	True	True	0.2049731501958763	True	True
468	214	7752	15039	1.079592	0.11048619128838263	Higher in AD	0.6478	False	False	1.162984	0.2178312487634624	Higher in AD	0.7403	False	False	1.050803	0.07149222442596424	Higher in AD	1.0	False	False	0.14633902433749818	False	False
469	250	10946	20179	0.959443	-0.05973099566838481	Higher in Control	0.4167	False	False	1.115562	0.1577706970037227	Higher in AD	1.0	False	False	0.882708	-0.1799918219307872	Higher in Control	0.005541	True	True	0.3377625189345099	True	True
470	54	471	960	1.0168	0.024035935455509406	Higher in AD	1.0	False	False	1.119432	0.16276689420894191	Higher in AD	1.0	False	False	0.964418	-0.05226951708214207	Higher in Control	0.4291	False	False	0.21503641129108397	False	False
474	59	561	1150	0.96855	-0.046101567080943734	Higher in Control	0.481	False	False	1.068438	0.09550319280097029	Higher in AD	1.0	False	False	0.943276	-0.08424813356085241	Higher in Control	0.3451	False	False	0.1797513263618227	False	False
484	99	2565	2286	0.723695	-0.46654629080774745	Higher in Control	0.006657	True	True	0.8302	-0.26846916294584156	Higher in Control	0.008813	True	True	0.383396	-1.38309280955127	Higher in Control	0.005541	True	True	1.1146236466054285	True	True
486	47	389	692	0.689828	-0.5356914061562801	Higher in Control	0.006657	True	True	0.777058	-0.36390580875183787	Higher in Control	0.02333	True	True	0.61459	-0.7023038018708685	Higher in Control	0.005541	True	True	0.3383979931190306	True	True
487	88	1505	2323	0.753013	-0.40925332311945845	Higher in Control	0.006657	True	True	0.743967	-0.4266894654790877	Higher in Control	0.008813	True	True	0.75968	-0.396536254794905	Higher in Control	0.005541	True	True	-0.030153210684182696	True	True
488	51	565	710	0.705764	-0.5027422526785743	Higher in Control	0.006657	True	True	0.717002	-0.4799509517118454	Higher in Control	0.008813	True	True	0.691733	-0.531712811226784	Higher in Control	0.005541	True	True	0.05176185951493867	True	True
489	72	880	1676	0.667574	-0.5830003277265539	Higher in Control	0.006657	True	True	0.843061	-0.24629107319376337	Higher in Control	0.01623	True	True	0.447307	-1.1606627593343295	Higher in Control	0.005541	True	True	0.9143716861405662	True	True
492	200	6872	13028	0.736966	-0.44033003291148654	Higher in Control	0.006657	True	True	0.755786	-0.4039503001815761	Higher in Control	0.008813	True	True	0.727379	-0.45922082022553123	Higher in Control	0.005541	True	True	0.05527052004395511	True	True
494	368	22989	44539	0.672331	-0.5727564236531822	Higher in Control	0.006657	True	True	0.689367	-0.5366558563444241	Higher in Control	0.008813	True	True	0.666489	-0.585347030190381	Higher in Control	0.005541	True	True	0.04869117384595689	True	True
495	244	10163	19483	0.785067	-0.3491123116563855	Higher in Control	0.006657	True	True	0.90343	-0.14651527306166792	Higher in Control	0.01623	True	True	0.740798	-0.4328478912594841	Higher in Control	0.005541	True	True	0.2863326181978162	True	True
682	565	116358	42972	0.804015	-0.3147056777819815	Higher in Control	0.006657	True	True	0.843357	-0.24578462967087814	Higher in Control	0.008813	True	True	0.378429	-1.4019054444947756	Higher in Control	0.005541	True	True	1.1561208148238975	True	True
691	382	45750	27021	0.774112	-0.36938578154735224	Higher in Control	0.006657	True	True	0.855398	-0.22533226082422042	Higher in Control	0.008813	True	True	0.384273	-1.3797964823548026	Higher in Control	0.005541	True	True	1.1544642215305823	True	True
693	490	76666	43139	0.649435	-0.6227429570053366	Higher in Control	0.006657	True	True	0.702591	-0.5092429987405852	Higher in Control	0.008813	True	True	0.264126	-1.9207017705697973	Higher in Control	0.005541	True	True	1.4114587718292122	True	True
724	603	130341	51162	0.908387	-0.13862103522051555	Higher in Control	0.006657	True	True	0.926684	-0.10985063236211894	Higher in Control	0.008813	True	True	0.592421	-0.7553053130403468	Higher in Control	0.005541	True	True	0.6454546806782279	True	True
728	661	143496	74634	1.134387	0.1819129045950413	Higher in AD	0.2313	False	False	1.179487	0.23815951765419807	Higher in AD	1.0	False	False	0.590237	-0.7606337335153086	Higher in Control	0.005541	True	True	0.9987932511695067	True	True
