cluster_id	cluster_size_expanded	pathway_id	pathway_num	pathway_name	category_level1	category_level2	term	p	fdr	significant	p_AC	fdr_AC	significant_AC	p_DLPFC	fdr_DLPFC	significant_DLPFC	p_PCGBA23	fdr_PCGBA23	significant_PCGBA23	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	neglog10_p	neglog10_fdr
1604	173	hsa04142	4142	Lysosome - Homo sapiens (human)	Cellular Processes	Transport and catabolism	KEGG_hsa04142	0.1197498364566423	0.1197498364566423	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	360	120	51873	3	0	2	1	ENSG00000144455(DLPFC),ENSG00000166311(DLPFC),ENSG00000166311(PCGBA23)	0.9217250710326164	0.9217250710326164
1905	466	hsa01210	1210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	Metabolism	Global and overview maps	KEGG_hsa01210	0.0438956635447532	0.1199432295605283	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	87	29	51873	3	1	1	1	ENSG00000182054(AC),ENSG00000182054(DLPFC),ENSG00000182054(PCGBA23)	1.357578381616813	0.921024261639364
1905	466	hsa00600	600	Sphingolipid metabolism - Homo sapiens (human)	Metabolism	Lipid metabolism	KEGG_hsa00600	0.046941870312547	0.1199432295605283	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	4	150	50	51873	3	2	1	1	ENSG00000177628(AC),ENSG00000213614(AC),ENSG00000213614(DLPFC),ENSG00000213614(PCGBA23)	1.3284396107272696	0.921024261639364
1905	466	hsa00051	51	Fructose and mannose metabolism - Homo sapiens (human)	Metabolism	Carbohydrate metabolism	KEGG_hsa00051	0.0477193493950489	0.1199432295605283	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	90	30	51873	3	0	2	1	ENSG00000132199(DLPFC),ENSG00000141959(DLPFC),ENSG00000141959(PCGBA23)	1.321305486126304	0.921024261639364
1905	466	hsa00380	380	Tryptophan metabolism - Homo sapiens (human)	Metabolism	Amino acid metabolism	KEGG_hsa00380	0.0477193493950489	0.1199432295605283	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	90	30	51873	3	1	1	1	ENSG00000075239(DLPFC),ENSG00000075239(PCGBA23),ENSG00000162882(AC)	1.321305486126304	0.921024261639364
796	180	hsa04530	4530	Tight junction - Homo sapiens (human)	Cellular Processes	Cellular community - eukaryotes	KEGG_hsa04530	0.0544850364288831	0.1199956973581117	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	4	408	136	51873	3	2	1	1	ENSG00000109339(AC),ENSG00000109756(AC),ENSG00000183067(DLPFC),ENSG00000183067(PCGBA23)	1.2637227543960052	0.920834326011795
796	180	hsa04211	4211	Longevity regulating pathway - Homo sapiens (human)	Organismal Systems	Aging	KEGG_hsa04211	0.0563245110048279	0.1199956973581117	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	249	83	51873	3	2	0	1	ENSG00000133116(PCGBA23),ENSG00000133703(AC),ENSG00000175766(AC)	1.2493025700227158	0.920834326011795
737	103	hsa05171	5171	Coronavirus disease - COVID-19 - Homo sapiens (human)	Human Diseases	Infectious disease: viral	KEGG_hsa05171	0.1012379444436819	0.1202200590268723	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	561	187	51873	3	1	1	1	ENSG00000105397(AC),ENSG00000105397(PCGBA23),ENSG00000126456(DLPFC)	0.994656681429914	0.9200230631330096
1918	542	hsa00620	620	Pyruvate metabolism - Homo sapiens (human)	Metabolism	Carbohydrate metabolism	KEGG_hsa00620	0.0269850073175618	0.1202760326154186	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	4	108	36	51873	3	1	1	2	ENSG00000082212(DLPFC),ENSG00000082212(PCGBA23),ENSG00000124767(AC),ENSG00000124767(PCGBA23)	1.5688774598305142	0.9198209058263284
1139	368	hsa04150	4150	mTOR signaling pathway - Homo sapiens (human)	Environmental Information Processing	Signal transduction	KEGG_hsa04150	0.0367982206535674	0.1206639328407676	False	0.0160066941432897	0.1600902681000382	False	1.0	1.0	False	1.0	1.0	False	7	435	145	51873	3	7	0	0	ENSG00000025039(AC),ENSG00000063046(AC),ENSG00000100030(AC),ENSG00000101577(AC),ENSG00000102882(AC),ENSG00000140992(AC),ENSG00000174775(AC)	1.4341731807563691	0.918422523680576
