module	module_size	cluster_type	tissues	n_tissues	dominant_tissue	n_genes_ac	n_genes_dlpfc	n_genes_pcg	proportion_ac	proportion_dlpfc	proportion_pcg
1139	368	CT	AC, DLPFC, PCG	3	AC	311	35	22	0.8451086957	0.09510869565	0.0597826087
1144	344	TS	AC, DLPFC, PCG	3	AC	334	4	6	0.9709302326	0.01162790698	0.01744186047
1158	35	TS	AC, DLPFC	2	AC	34	1	0	0.9714285714	0.02857142857	0
1175	325	TS	AC, DLPFC, PCG	3	AC	312	6	7	0.96	0.01846153846	0.02153846154
1179	88	CT	AC, DLPFC, PCG	3	AC	81	5	2	0.9204545455	0.05681818182	0.02272727273
1180	453	CT	AC, DLPFC, PCG	3	AC	386	29	38	0.8520971302	0.06401766004	0.08388520971
1181	405	CT	AC, DLPFC, PCG	3	AC	339	21	45	0.837037037	0.05185185185	0.1111111111
1196	64	CT	AC, DLPFC, PCG	3	AC	60	3	1	0.9375	0.046875	0.015625
1198	32	CT	AC, DLPFC, PCG	3	AC	20	8	4	0.625	0.25	0.125
1203	73	CT	AC, DLPFC, PCG	3	AC	34	22	17	0.4657534247	0.301369863	0.2328767123
1205	117	CT	AC, DLPFC, PCG	3	AC	50	43	24	0.4273504274	0.3675213675	0.2051282051
1206	75	TS	AC, DLPFC, PCG	3	AC	72	1	2	0.96	0.01333333333	0.02666666667
1209	75	CT	AC, DLPFC, PCG	3	AC	65	7	3	0.8666666667	0.09333333333	0.04
1210	58	CT	AC, DLPFC, PCG	3	AC	48	6	4	0.8275862069	0.1034482759	0.06896551724
1211	69	CT	AC, DLPFC, PCG	3	AC	65	2	2	0.9420289855	0.02898550725	0.02898550725
1263	464	TS	AC, DLPFC, PCG	3	DLPFC	3	443	18	0.006465517241	0.9547413793	0.03879310345
1267	230	TS	AC, DLPFC, PCG	3	DLPFC	1	228	1	0.004347826087	0.9913043478	0.004347826087
1269	461	TS	AC, DLPFC, PCG	3	DLPFC	2	444	15	0.004338394794	0.9631236443	0.03253796095
1304	132	CT	AC, DLPFC, PCG	3	DLPFC	1	124	7	0.007575757576	0.9393939394	0.05303030303
1307	134	CT	AC, DLPFC, PCG	3	DLPFC	5	117	12	0.03731343284	0.8731343284	0.08955223881
1308	184	CT	AC, DLPFC, PCG	3	DLPFC	7	171	6	0.03804347826	0.9293478261	0.03260869565
1309	174	CT	AC, DLPFC, PCG	3	DLPFC	5	164	5	0.02873563218	0.9425287356	0.02873563218
1312	718	CT	AC, DLPFC, PCG	3	DLPFC	94	413	211	0.1309192201	0.5752089136	0.2938718663
1313	739	CT	AC, DLPFC, PCG	3	DLPFC	128	312	299	0.1732070365	0.4221921516	0.4046008119
