ensembl_id	ensembl_base	gene_symbol
ENSG00000123080.10	ENSG00000123080	CDKN2C
ENSG00000123091.4	ENSG00000123091	RNF11
ENSG00000123094.15	ENSG00000123094	RASSF8
ENSG00000123095.5	ENSG00000123095	BHLHE41
ENSG00000123096.11	ENSG00000123096	SSPN
ENSG00000123104.11	ENSG00000123104	ITPR2
ENSG00000123106.10	ENSG00000123106	CCDC91
ENSG00000123119.11	ENSG00000123119	NECAB1
ENSG00000123124.13	ENSG00000123124	WWP1
ENSG00000123130.16	ENSG00000123130	ACOT9
ENSG00000123131.12	ENSG00000123131	PRDX4
ENSG00000123136.14	ENSG00000123136	DDX39A
ENSG00000123143.12	ENSG00000123143	PKN1
ENSG00000123144.10	ENSG00000123144	TRIR
ENSG00000123146.19	ENSG00000123146	ADGRE5
ENSG00000123154.11	ENSG00000123154	WDR83
ENSG00000123159.15	ENSG00000123159	GIPC1
ENSG00000123178.14	ENSG00000123178	SPRYD7
ENSG00000123179.13	ENSG00000123179	EBPL
ENSG00000123191.14	ENSG00000123191	ATP7B
ENSG00000123200.16	ENSG00000123200	ZC3H13
ENSG00000123213.22	ENSG00000123213	NLN
ENSG00000123240.16	ENSG00000123240	OPTN
ENSG00000123243.14	ENSG00000123243	ITIH5
ENSG00000123268.8	ENSG00000123268	ATF1
ENSG00000123297.17	ENSG00000123297	TSFM
ENSG00000123329.17	ENSG00000123329	ARHGAP9
ENSG00000123338.12	ENSG00000123338	NCKAP1L
ENSG00000123349.13	ENSG00000123349	PFDN5
ENSG00000123352.17	ENSG00000123352	SPATS2
ENSG00000123353.9	ENSG00000123353	ORMDL2
ENSG00000123358.19	ENSG00000123358	NR4A1
ENSG00000123360.11	ENSG00000123360	PDE1B
ENSG00000123374.10	ENSG00000123374	CDK2
ENSG00000123384.13	ENSG00000123384	LRP1
ENSG00000123395.14	ENSG00000123395	ATG101
ENSG00000123411.14	ENSG00000123411	IKZF4
ENSG00000123415.15	ENSG00000123415	SMUG1
ENSG00000123416.15	ENSG00000123416	TUBA1B
ENSG00000123427.16	ENSG00000123427	EEF1AKMT3
ENSG00000123444.13	ENSG00000123444	KBTBD4
ENSG00000123453.17	ENSG00000123453	SARDH
ENSG00000123454.10	ENSG00000123454	DBH
ENSG00000123472.12	ENSG00000123472	ATPAF1
ENSG00000123473.15	ENSG00000123473	STIL
ENSG00000123500.9	ENSG00000123500	COL10A1
ENSG00000123505.15	ENSG00000123505	AMD1
ENSG00000123545.5	ENSG00000123545	NDUFAF4
ENSG00000123552.17	ENSG00000123552	USP45
ENSG00000123560.13	ENSG00000123560	PLP1
ENSG00000123562.16	ENSG00000123562	MORF4L2
ENSG00000123570.3	ENSG00000123570	RAB9B
ENSG00000123575.8	ENSG00000123575	FAM199X
ENSG00000123595.7	ENSG00000123595	RAB9A
ENSG00000123600.19	ENSG00000123600	METTL8
ENSG00000123607.14	ENSG00000123607	TTC21B
ENSG00000123609.10	ENSG00000123609	NMI
ENSG00000123610.4	ENSG00000123610	TNFAIP6
ENSG00000123612.15	ENSG00000123612	ACVR1C
ENSG00000123636.17	ENSG00000123636	BAZ2B
ENSG00000123643.12	ENSG00000123643	SLC36A1
ENSG00000123684.12	ENSG00000123684	LPGAT1
ENSG00000123685.8	ENSG00000123685	BATF3
ENSG00000123689.5	ENSG00000123689	G0S2
ENSG00000123700.4	ENSG00000123700	KCNJ2
ENSG00000123728.9	ENSG00000123728	RAP2C
ENSG00000123737.12	ENSG00000123737	EXOSC9
ENSG00000123739.10	ENSG00000123739	PLA2G12A
ENSG00000123810.7	ENSG00000123810	B9D2
ENSG00000123815.11	ENSG00000123815	COQ8B
ENSG00000123836.14	ENSG00000123836	PFKFB2
ENSG00000123870.10	ENSG00000123870	ZNF137P
ENSG00000123901.8	ENSG00000123901	GPR83
ENSG00000123908.11	ENSG00000123908	AGO2
ENSG00000123933.16	ENSG00000123933	MXD4
ENSG00000123975.4	ENSG00000123975	CKS2
ENSG00000123977.9	ENSG00000123977	DAW1
ENSG00000123983.13	ENSG00000123983	ACSL3
ENSG00000123989.13	ENSG00000123989	CHPF
ENSG00000123992.18	ENSG00000123992	DNPEP
ENSG00000124006.14	ENSG00000124006	OBSL1
ENSG00000124019.9	ENSG00000124019	FAM124B
ENSG00000124067.16	ENSG00000124067	SLC12A4
ENSG00000124074.11	ENSG00000124074	ENKD1
ENSG00000124098.9	ENSG00000124098	FAM210B
ENSG00000124104.18	ENSG00000124104	SNX21
ENSG00000124120.10	ENSG00000124120	TTPAL
ENSG00000124126.13	ENSG00000124126	PREX1
ENSG00000124134.8	ENSG00000124134	KCNS1
ENSG00000124140.13	ENSG00000124140	SLC12A5
ENSG00000124145.6	ENSG00000124145	SDC4
ENSG00000124151.18	ENSG00000124151	NCOA3
ENSG00000124155.17	ENSG00000124155	PIGT
ENSG00000124160.11	ENSG00000124160	NCOA5
ENSG00000124164.15	ENSG00000124164	VAPB
ENSG00000124171.8	ENSG00000124171	PARD6B
ENSG00000124172.9	ENSG00000124172	ATP5E
ENSG00000124177.14	ENSG00000124177	CHD6
ENSG00000124181.14	ENSG00000124181	PLCG1
ENSG00000124191.17	ENSG00000124191	TOX2
ENSG00000124193.14	ENSG00000124193	SRSF6
ENSG00000124194.16	ENSG00000124194	GDAP1L1
ENSG00000124198.8	ENSG00000124198	ARFGEF2
ENSG00000124201.14	ENSG00000124201	ZNFX1
ENSG00000124203.6	ENSG00000124203	ZNF831
ENSG00000124205.15	ENSG00000124205	EDN3
ENSG00000124207.16	ENSG00000124207	CSE1L
ENSG00000124209.3	ENSG00000124209	RAB22A
ENSG00000124212.5	ENSG00000124212	PTGIS
ENSG00000124214.19	ENSG00000124214	STAU1
ENSG00000124215.16	ENSG00000124215	CDH26
ENSG00000124216.3	ENSG00000124216	SNAI1
ENSG00000124217.4	ENSG00000124217	MOCS3
ENSG00000124222.22	ENSG00000124222	STX16
ENSG00000124224.16	ENSG00000124224	PPP4R1L
ENSG00000124225.15	ENSG00000124225	PMEPA1
ENSG00000124226.10	ENSG00000124226	RNF114
ENSG00000124228.14	ENSG00000124228	DDX27
ENSG00000124243.17	ENSG00000124243	BCAS4
ENSG00000124251.10	ENSG00000124251	TP53TG5
ENSG00000124253.10	ENSG00000124253	PCK1
ENSG00000124257.6	ENSG00000124257	NEURL2
ENSG00000124275.14	ENSG00000124275	MTRR
ENSG00000124279.11	ENSG00000124279	FASTKD3
ENSG00000124299.13	ENSG00000124299	PEPD
ENSG00000124302.12	ENSG00000124302	CHST8
ENSG00000124313.13	ENSG00000124313	IQSEC2
ENSG00000124333.15	ENSG00000124333	VAMP7
ENSG00000124333.15_PAR_Y	ENSG00000124333	VAMP7
ENSG00000124356.15	ENSG00000124356	STAMBP
ENSG00000124357.12	ENSG00000124357	NAGK
ENSG00000124370.10	ENSG00000124370	MCEE
ENSG00000124374.8	ENSG00000124374	PAIP2B
ENSG00000124380.10	ENSG00000124380	SNRNP27
ENSG00000124383.8	ENSG00000124383	MPHOSPH10
ENSG00000124406.16	ENSG00000124406	ATP8A1
ENSG00000124422.11	ENSG00000124422	USP22
ENSG00000124440.15	ENSG00000124440	HIF3A
ENSG00000124444.15	ENSG00000124444	ZNF576
ENSG00000124459.11	ENSG00000124459	ZNF45
ENSG00000124479.8	ENSG00000124479	NDP
