ensembl_id	ensembl_base	gene_symbol
ENSG00000000003.14	ENSG00000000003	TSPAN6
ENSG00000000419.12	ENSG00000000419	DPM1
ENSG00000000457.13	ENSG00000000457	SCYL3
ENSG00000000460.16	ENSG00000000460	C1orf112
ENSG00000000938.12	ENSG00000000938	FGR
ENSG00000000971.15	ENSG00000000971	CFH
ENSG00000001036.13	ENSG00000001036	FUCA2
ENSG00000001084.10	ENSG00000001084	GCLC
ENSG00000001167.14	ENSG00000001167	NFYA
ENSG00000001460.17	ENSG00000001460	STPG1
ENSG00000001461.16	ENSG00000001461	NIPAL3
ENSG00000001497.16	ENSG00000001497	LAS1L
ENSG00000001561.6	ENSG00000001561	ENPP4
ENSG00000001617.11	ENSG00000001617	SEMA3F
ENSG00000001629.9	ENSG00000001629	ANKIB1
ENSG00000001630.15	ENSG00000001630	CYP51A1
ENSG00000001631.15	ENSG00000001631	KRIT1
ENSG00000002016.17	ENSG00000002016	RAD52
ENSG00000002330.13	ENSG00000002330	BAD
ENSG00000002549.12	ENSG00000002549	LAP3
ENSG00000002586.18	ENSG00000002586	CD99
ENSG00000002586.18_PAR_Y	ENSG00000002586	CD99
ENSG00000002587.9	ENSG00000002587	HS3ST1
ENSG00000002745.12	ENSG00000002745	WNT16
ENSG00000002746.14	ENSG00000002746	HECW1
ENSG00000002822.15	ENSG00000002822	MAD1L1
ENSG00000002834.17	ENSG00000002834	LASP1
ENSG00000002919.14	ENSG00000002919	SNX11
ENSG00000002933.7	ENSG00000002933	TMEM176A
ENSG00000003056.7	ENSG00000003056	M6PR
ENSG00000003096.14	ENSG00000003096	KLHL13
ENSG00000003137.8	ENSG00000003137	CYP26B1
ENSG00000003147.17	ENSG00000003147	ICA1
ENSG00000003249.13	ENSG00000003249	DBNDD1
ENSG00000003393.14	ENSG00000003393	ALS2
ENSG00000003400.14	ENSG00000003400	CASP10
ENSG00000003402.19	ENSG00000003402	CFLAR
ENSG00000003436.15	ENSG00000003436	TFPI
ENSG00000003509.15	ENSG00000003509	NDUFAF7
ENSG00000003756.16	ENSG00000003756	RBM5
ENSG00000003987.13	ENSG00000003987	MTMR7
ENSG00000003989.17	ENSG00000003989	SLC7A2
ENSG00000004059.10	ENSG00000004059	ARF5
ENSG00000004139.13	ENSG00000004139	SARM1
ENSG00000004142.11	ENSG00000004142	POLDIP2
ENSG00000004399.12	ENSG00000004399	PLXND1
ENSG00000004455.16	ENSG00000004455	AK2
ENSG00000004468.12	ENSG00000004468	CD38
ENSG00000004478.7	ENSG00000004478	FKBP4
ENSG00000004487.15	ENSG00000004487	KDM1A
ENSG00000004534.14	ENSG00000004534	RBM6
ENSG00000004660.14	ENSG00000004660	CAMKK1
ENSG00000004700.15	ENSG00000004700	RECQL
ENSG00000004766.15	ENSG00000004766	VPS50
ENSG00000004776.12	ENSG00000004776	HSPB6
ENSG00000004777.18	ENSG00000004777	ARHGAP33
ENSG00000004779.9	ENSG00000004779	NDUFAB1
ENSG00000004799.7	ENSG00000004799	PDK4
ENSG00000004838.13	ENSG00000004838	ZMYND10
ENSG00000004848.7	ENSG00000004848	ARX
ENSG00000004864.13	ENSG00000004864	SLC25A13
ENSG00000004866.20	ENSG00000004866	ST7
ENSG00000004897.11	ENSG00000004897	CDC27
ENSG00000004961.14	ENSG00000004961	HCCS
ENSG00000004975.11	ENSG00000004975	DVL2
ENSG00000005007.12	ENSG00000005007	UPF1
ENSG00000005020.12	ENSG00000005020	SKAP2
ENSG00000005022.5	ENSG00000005022	SLC25A5
ENSG00000005059.15	ENSG00000005059	MCUB
ENSG00000005075.15	ENSG00000005075	POLR2J
ENSG00000005100.12	ENSG00000005100	DHX33
ENSG00000005108.15	ENSG00000005108	THSD7A
ENSG00000005156.11	ENSG00000005156	LIG3
ENSG00000005175.9	ENSG00000005175	RPAP3
ENSG00000005189.19	ENSG00000005189	REXO5
ENSG00000005194.14	ENSG00000005194	CIAPIN1
ENSG00000005206.16	ENSG00000005206	SPPL2B
ENSG00000005238.19	ENSG00000005238	FAM214B
ENSG00000005243.9	ENSG00000005243	COPZ2
ENSG00000005249.12	ENSG00000005249	PRKAR2B
ENSG00000005302.17	ENSG00000005302	MSL3
ENSG00000005339.14	ENSG00000005339	CREBBP
ENSG00000005379.15	ENSG00000005379	TSPOAP1
ENSG00000005381.7	ENSG00000005381	MPO
ENSG00000005436.13	ENSG00000005436	GCFC2
ENSG00000005448.16	ENSG00000005448	WDR54
ENSG00000005469.11	ENSG00000005469	CROT
ENSG00000005471.15	ENSG00000005471	ABCB4
ENSG00000005483.20	ENSG00000005483	KMT2E
ENSG00000005486.16	ENSG00000005486	RHBDD2
ENSG00000005513.9	ENSG00000005513	SOX8
ENSG00000005700.14	ENSG00000005700	IBTK
ENSG00000005801.16	ENSG00000005801	ZNF195
ENSG00000005810.17	ENSG00000005810	MYCBP2
ENSG00000005812.10	ENSG00000005812	FBXL3
ENSG00000005844.17	ENSG00000005844	ITGAL
ENSG00000005882.11	ENSG00000005882	PDK2
ENSG00000005884.17	ENSG00000005884	ITGA3
ENSG00000005889.15	ENSG00000005889	ZFX
ENSG00000005893.15	ENSG00000005893	LAMP2
ENSG00000005961.17	ENSG00000005961	ITGA2B
ENSG00000005981.12	ENSG00000005981	ASB4
ENSG00000006007.11	ENSG00000006007	GDE1
ENSG00000006015.17	ENSG00000006015	C19orf60
ENSG00000006016.10	ENSG00000006016	CRLF1
ENSG00000006025.11	ENSG00000006025	OSBPL7
ENSG00000006042.11	ENSG00000006042	TMEM98
ENSG00000006047.12	ENSG00000006047	YBX2
ENSG00000006062.14	ENSG00000006062	MAP3K14
ENSG00000006071.12	ENSG00000006071	ABCC8
ENSG00000006116.3	ENSG00000006116	CACNG3
ENSG00000006118.14	ENSG00000006118	TMEM132A
ENSG00000006125.17	ENSG00000006125	AP2B1
ENSG00000006128.11	ENSG00000006128	TAC1
ENSG00000006194.9	ENSG00000006194	ZNF263
ENSG00000006210.6	ENSG00000006210	CX3CL1
ENSG00000006282.20	ENSG00000006282	SPATA20
ENSG00000006283.17	ENSG00000006283	CACNA1G
ENSG00000006327.13	ENSG00000006327	TNFRSF12A
ENSG00000006377.10	ENSG00000006377	DLX6
ENSG00000006432.15	ENSG00000006432	MAP3K9
ENSG00000006451.7	ENSG00000006451	RALA
ENSG00000006453.13	ENSG00000006453	BAIAP2L1
ENSG00000006459.10	ENSG00000006459	KDM7A
ENSG00000006468.13	ENSG00000006468	ETV1
ENSG00000006530.15	ENSG00000006530	AGK
ENSG00000006534.15	ENSG00000006534	ALDH3B1
ENSG00000006555.10	ENSG00000006555	TTC22
ENSG00000006576.16	ENSG00000006576	PHTF2
ENSG00000006607.13	ENSG00000006607	FARP2
ENSG00000006611.15	ENSG00000006611	USH1C
ENSG00000006625.17	ENSG00000006625	GGCT
ENSG00000006634.7	ENSG00000006634	DBF4
ENSG00000006638.11	ENSG00000006638	TBXA2R
ENSG00000006652.13	ENSG00000006652	IFRD1
ENSG00000006695.10	ENSG00000006695	COX10
ENSG00000006704.10	ENSG00000006704	GTF2IRD1
ENSG00000006712.14	ENSG00000006712	PAF1
ENSG00000006715.15	ENSG00000006715	VPS41
ENSG00000006740.16	ENSG00000006740	ARHGAP44
ENSG00000006744.18	ENSG00000006744	ELAC2
ENSG00000006747.14	ENSG00000006747	SCIN
ENSG00000006756.15	ENSG00000006756	ARSD
ENSG00000006757.11	ENSG00000006757	PNPLA4
ENSG00000006831.9	ENSG00000006831	ADIPOR2
ENSG00000006837.11	ENSG00000006837	CDKL3
ENSG00000007001.12	ENSG00000007001	UPP2
ENSG00000007047.14	ENSG00000007047	MARK4
ENSG00000007062.11	ENSG00000007062	PROM1
ENSG00000007080.10	ENSG00000007080	CCDC124
ENSG00000007168.12	ENSG00000007168	PAFAH1B1
ENSG00000007171.16	ENSG00000007171	NOS2
ENSG00000007174.17	ENSG00000007174	DNAH9
ENSG00000007202.14	ENSG00000007202	KIAA0100
ENSG00000007237.18	ENSG00000007237	GAS7
ENSG00000007255.10	ENSG00000007255	TRAPPC6A
ENSG00000007264.14	ENSG00000007264	MATK
ENSG00000007341.18	ENSG00000007341	ST7L
ENSG00000007372.21	ENSG00000007372	PAX6
ENSG00000007376.7	ENSG00000007376	RPUSD1
ENSG00000007384.15	ENSG00000007384	RHBDF1
ENSG00000007392.16	ENSG00000007392	LUC7L
ENSG00000007402.11	ENSG00000007402	CACNA2D2
ENSG00000007516.13	ENSG00000007516	BAIAP3
ENSG00000007520.3	ENSG00000007520	TSR3
ENSG00000007541.16	ENSG00000007541	PIGQ
ENSG00000007545.15	ENSG00000007545	CRAMP1
ENSG00000007866.19	ENSG00000007866	TEAD3
ENSG00000007923.15	ENSG00000007923	DNAJC11
ENSG00000007933.12	ENSG00000007933	FMO3
ENSG00000007944.14	ENSG00000007944	MYLIP
ENSG00000008018.8	ENSG00000008018	PSMB1
ENSG00000008056.13	ENSG00000008056	SYN1
ENSG00000008083.13	ENSG00000008083	JARID2
ENSG00000008086.11	ENSG00000008086	CDKL5
ENSG00000008118.9	ENSG00000008118	CAMK1G
ENSG00000008128.22	ENSG00000008128	CDK11A
ENSG00000008130.15	ENSG00000008130	NADK
ENSG00000008226.19	ENSG00000008226	DLEC1
ENSG00000008256.15	ENSG00000008256	CYTH3
ENSG00000008277.14	ENSG00000008277	ADAM22
ENSG00000008282.8	ENSG00000008282	SYPL1
ENSG00000008283.15	ENSG00000008283	CYB561
ENSG00000008294.20	ENSG00000008294	SPAG9
ENSG00000008300.16	ENSG00000008300	CELSR3
ENSG00000008311.14	ENSG00000008311	AASS
ENSG00000008324.11	ENSG00000008324	SS18L2
ENSG00000008382.15	ENSG00000008382	MPND
ENSG00000008394.12	ENSG00000008394	MGST1
ENSG00000008405.11	ENSG00000008405	CRY1
ENSG00000008441.16	ENSG00000008441	NFIX
ENSG00000008513.14	ENSG00000008513	ST3GAL1
ENSG00000008516.16	ENSG00000008516	MMP25
ENSG00000008517.16	ENSG00000008517	IL32
ENSG00000008710.19	ENSG00000008710	PKD1
ENSG00000008735.13	ENSG00000008735	MAPK8IP2
ENSG00000008838.19	ENSG00000008838	MED24
ENSG00000008853.16	ENSG00000008853	RHOBTB2
ENSG00000008869.11	ENSG00000008869	HEATR5B
ENSG00000008952.16	ENSG00000008952	SEC62
ENSG00000008988.9	ENSG00000008988	RPS20
ENSG00000009307.15	ENSG00000009307	CSDE1
ENSG00000009335.17	ENSG00000009335	UBE3C
ENSG00000009413.15	ENSG00000009413	REV3L
ENSG00000009694.13	ENSG00000009694	TENM1
ENSG00000009709.11	ENSG00000009709	PAX7
ENSG00000009780.15	ENSG00000009780	FAM76A
ENSG00000009790.14	ENSG00000009790	TRAF3IP3
ENSG00000009830.11	ENSG00000009830	POMT2
ENSG00000009844.15	ENSG00000009844	VTA1
ENSG00000009950.15	ENSG00000009950	MLXIPL
ENSG00000009954.10	ENSG00000009954	BAZ1B
ENSG00000010017.12	ENSG00000010017	RANBP9
ENSG00000010030.13	ENSG00000010030	ETV7
ENSG00000010072.15	ENSG00000010072	SPRTN
ENSG00000010165.19	ENSG00000010165	METTL13
ENSG00000010219.13	ENSG00000010219	DYRK4
ENSG00000010244.18	ENSG00000010244	ZNF207
ENSG00000010256.10	ENSG00000010256	UQCRC1
ENSG00000010270.13	ENSG00000010270	STARD3NL
ENSG00000010278.12	ENSG00000010278	CD9
ENSG00000010282.14	ENSG00000010282	HHATL
ENSG00000010292.12	ENSG00000010292	NCAPD2
ENSG00000010295.19	ENSG00000010295	IFFO1
ENSG00000010310.8	ENSG00000010310	GIPR
ENSG00000010318.20	ENSG00000010318	PHF7
ENSG00000010319.6	ENSG00000010319	SEMA3G
ENSG00000010322.15	ENSG00000010322	NISCH
ENSG00000010327.10	ENSG00000010327	STAB1
ENSG00000010361.13	ENSG00000010361	FUZ
ENSG00000010379.15	ENSG00000010379	SLC6A13
ENSG00000010404.17	ENSG00000010404	IDS
ENSG00000010438.16	ENSG00000010438	PRSS3
ENSG00000010539.11	ENSG00000010539	ZNF200
ENSG00000010610.9	ENSG00000010610	CD4
ENSG00000010626.14	ENSG00000010626	LRRC23
ENSG00000010671.15	ENSG00000010671	BTK
ENSG00000010704.18	ENSG00000010704	HFE
ENSG00000010803.16	ENSG00000010803	SCMH1
ENSG00000010810.17	ENSG00000010810	FYN
ENSG00000010818.9	ENSG00000010818	HIVEP2
ENSG00000011007.12	ENSG00000011007	ELOA
ENSG00000011009.10	ENSG00000011009	LYPLA2
ENSG00000011021.21	ENSG00000011021	CLCN6
ENSG00000011028.13	ENSG00000011028	MRC2
ENSG00000011052.21	ENSG00000011052	NME1-NME2
ENSG00000011083.8	ENSG00000011083	SLC6A7
ENSG00000011105.12	ENSG00000011105	TSPAN9
ENSG00000011114.14	ENSG00000011114	BTBD7
ENSG00000011132.11	ENSG00000011132	APBA3
ENSG00000011143.16	ENSG00000011143	MKS1
ENSG00000011198.7	ENSG00000011198	ABHD5
ENSG00000011201.11	ENSG00000011201	ANOS1
ENSG00000011243.17	ENSG00000011243	AKAP8L
ENSG00000011258.15	ENSG00000011258	MBTD1
ENSG00000011260.13	ENSG00000011260	UTP18
ENSG00000011275.18	ENSG00000011275	RNF216
ENSG00000011295.15	ENSG00000011295	TTC19
ENSG00000011304.19	ENSG00000011304	PTBP1
ENSG00000011332.19	ENSG00000011332	DPF1
ENSG00000011347.9	ENSG00000011347	SYT7
ENSG00000011376.9	ENSG00000011376	LARS2
ENSG00000011405.13	ENSG00000011405	PIK3C2A
ENSG00000011422.11	ENSG00000011422	PLAUR
ENSG00000011426.10	ENSG00000011426	ANLN
ENSG00000011451.17	ENSG00000011451	WIZ
ENSG00000011454.16	ENSG00000011454	RABGAP1
ENSG00000011465.16	ENSG00000011465	DCN
ENSG00000011478.11	ENSG00000011478	QPCTL
ENSG00000011485.14	ENSG00000011485	PPP5C
ENSG00000011523.13	ENSG00000011523	CEP68
ENSG00000011566.14	ENSG00000011566	MAP4K3
ENSG00000011600.11	ENSG00000011600	TYROBP
ENSG00000011638.10	ENSG00000011638	TMEM159
ENSG00000011677.12	ENSG00000011677	GABRA3
ENSG00000012048.20	ENSG00000012048	BRCA1
ENSG00000012061.15	ENSG00000012061	ERCC1
ENSG00000012124.16	ENSG00000012124	CD22
ENSG00000012171.19	ENSG00000012171	SEMA3B
ENSG00000012174.11	ENSG00000012174	MBTPS2
ENSG00000012211.12	ENSG00000012211	PRICKLE3
ENSG00000012223.12	ENSG00000012223	LTF
ENSG00000012232.8	ENSG00000012232	EXTL3
ENSG00000012660.13	ENSG00000012660	ELOVL5
ENSG00000012779.10	ENSG00000012779	ALOX5
ENSG00000012822.15	ENSG00000012822	CALCOCO1
ENSG00000012963.14	ENSG00000012963	UBR7
ENSG00000012983.11	ENSG00000012983	MAP4K5
ENSG00000013016.15	ENSG00000013016	EHD3
ENSG00000013275.7	ENSG00000013275	PSMC4
ENSG00000013288.8	ENSG00000013288	MAN2B2
ENSG00000013293.5	ENSG00000013293	SLC7A14
ENSG00000013297.10	ENSG00000013297	CLDN11
ENSG00000013306.15	ENSG00000013306	SLC25A39
ENSG00000013364.18	ENSG00000013364	MVP
ENSG00000013374.15	ENSG00000013374	NUB1
ENSG00000013375.15	ENSG00000013375	PGM3
ENSG00000013392.7	ENSG00000013392	RWDD2A
ENSG00000013441.15	ENSG00000013441	CLK1
ENSG00000013503.9	ENSG00000013503	POLR3B
ENSG00000013523.9	ENSG00000013523	ANGEL1
ENSG00000013561.17	ENSG00000013561	RNF14
ENSG00000013563.13	ENSG00000013563	DNASE1L1
ENSG00000013573.16	ENSG00000013573	DDX11
ENSG00000013583.8	ENSG00000013583	HEBP1
ENSG00000013588.7	ENSG00000013588	GPRC5A
ENSG00000013619.13	ENSG00000013619	MAMLD1
ENSG00000013725.14	ENSG00000013725	CD6
ENSG00000013810.18	ENSG00000013810	TACC3
ENSG00000014123.9	ENSG00000014123	UFL1
ENSG00000014138.8	ENSG00000014138	POLA2
ENSG00000014164.6	ENSG00000014164	ZC3H3
ENSG00000014216.15	ENSG00000014216	CAPN1
ENSG00000014641.17	ENSG00000014641	MDH1
ENSG00000014824.13	ENSG00000014824	SLC30A9
ENSG00000014914.20	ENSG00000014914	MTMR11
ENSG00000014919.12	ENSG00000014919	COX15
ENSG00000015133.18	ENSG00000015133	CCDC88C
ENSG00000015153.14	ENSG00000015153	YAF2
ENSG00000015171.19	ENSG00000015171	ZMYND11
ENSG00000015285.10	ENSG00000015285	WAS
ENSG00000015475.18	ENSG00000015475	BID
ENSG00000015479.18	ENSG00000015479	MATR3
ENSG00000015532.9	ENSG00000015532	XYLT2
ENSG00000015568.12	ENSG00000015568	RGPD5
ENSG00000015592.16	ENSG00000015592	STMN4
ENSG00000015676.17	ENSG00000015676	NUDCD3
ENSG00000016391.10	ENSG00000016391	CHDH
ENSG00000016402.13	ENSG00000016402	IL20RA
ENSG00000016602.9	ENSG00000016602	CLCA4
ENSG00000016864.18	ENSG00000016864	GLT8D1
ENSG00000017260.19	ENSG00000017260	ATP2C1
ENSG00000017427.15	ENSG00000017427	IGF1
ENSG00000017483.14	ENSG00000017483	SLC38A5
ENSG00000017797.12	ENSG00000017797	RALBP1
ENSG00000018189.12	ENSG00000018189	RUFY3
ENSG00000018236.14	ENSG00000018236	CNTN1
ENSG00000018280.16	ENSG00000018280	SLC11A1
ENSG00000018408.14	ENSG00000018408	WWTR1
ENSG00000018510.13	ENSG00000018510	AGPS
ENSG00000018610.13	ENSG00000018610	CXorf56
ENSG00000018625.14	ENSG00000018625	ATP1A2
ENSG00000018699.11	ENSG00000018699	TTC27
ENSG00000018869.16	ENSG00000018869	ZNF582
ENSG00000019144.18	ENSG00000019144	PHLDB1
ENSG00000019485.13	ENSG00000019485	PRDM11
ENSG00000019505.7	ENSG00000019505	SYT13
ENSG00000019549.9	ENSG00000019549	SNAI2
ENSG00000019582.14	ENSG00000019582	CD74
ENSG00000019991.15	ENSG00000019991	HGF
ENSG00000019995.6	ENSG00000019995	ZRANB1
ENSG00000020129.15	ENSG00000020129	NCDN
ENSG00000020181.17	ENSG00000020181	ADGRA2
ENSG00000020256.19	ENSG00000020256	ZFP64
ENSG00000020426.10	ENSG00000020426	MNAT1
ENSG00000020577.13	ENSG00000020577	SAMD4A
ENSG00000020633.18	ENSG00000020633	RUNX3
ENSG00000020922.12	ENSG00000020922	MRE11
ENSG00000021300.13	ENSG00000021300	PLEKHB1
ENSG00000021355.12	ENSG00000021355	SERPINB1
ENSG00000021488.12	ENSG00000021488	SLC7A9
ENSG00000021574.11	ENSG00000021574	SPAST
ENSG00000021645.18	ENSG00000021645	NRXN3
ENSG00000021762.19	ENSG00000021762	OSBPL5
ENSG00000021776.10	ENSG00000021776	AQR
ENSG00000021826.14	ENSG00000021826	CPS1
ENSG00000022267.16	ENSG00000022267	FHL1
ENSG00000022277.12	ENSG00000022277	RTFDC1
ENSG00000022355.16	ENSG00000022355	GABRA1
ENSG00000022556.15	ENSG00000022556	NLRP2
ENSG00000022567.9	ENSG00000022567	SLC45A4
ENSG00000022840.15	ENSG00000022840	RNF10
ENSG00000022976.15	ENSG00000022976	ZNF839
ENSG00000023041.11	ENSG00000023041	ZDHHC6
ENSG00000023171.16	ENSG00000023171	GRAMD1B
ENSG00000023191.16	ENSG00000023191	RNH1
ENSG00000023228.13	ENSG00000023228	NDUFS1
ENSG00000023287.12	ENSG00000023287	RB1CC1
ENSG00000023318.7	ENSG00000023318	ERP44
ENSG00000023330.14	ENSG00000023330	ALAS1
ENSG00000023445.13	ENSG00000023445	BIRC3
ENSG00000023516.8	ENSG00000023516	AKAP11
ENSG00000023572.8	ENSG00000023572	GLRX2
ENSG00000023608.4	ENSG00000023608	SNAPC1
ENSG00000023697.12	ENSG00000023697	DERA
ENSG00000023734.10	ENSG00000023734	STRAP
ENSG00000023892.10	ENSG00000023892	DEF6
ENSG00000023902.13	ENSG00000023902	PLEKHO1
ENSG00000023909.9	ENSG00000023909	GCLM
ENSG00000024048.10	ENSG00000024048	UBR2
ENSG00000024422.11	ENSG00000024422	EHD2
ENSG00000024862.17	ENSG00000024862	CCDC28A
ENSG00000025039.14	ENSG00000025039	RRAGD
ENSG00000025156.12	ENSG00000025156	HSF2
ENSG00000025293.16	ENSG00000025293	PHF20
ENSG00000025423.11	ENSG00000025423	HSD17B6
ENSG00000025434.18	ENSG00000025434	NR1H3
ENSG00000025708.13	ENSG00000025708	TYMP
ENSG00000025770.18	ENSG00000025770	NCAPH2
ENSG00000025772.7	ENSG00000025772	TOMM34
ENSG00000025796.13	ENSG00000025796	SEC63
ENSG00000025800.13	ENSG00000025800	KPNA6
ENSG00000026025.15	ENSG00000026025	VIM
ENSG00000026036.21	ENSG00000026036	RTEL1-TNFRSF6B
ENSG00000026103.21	ENSG00000026103	FAS
ENSG00000026297.15	ENSG00000026297	RNASET2
ENSG00000026508.17	ENSG00000026508	CD44
ENSG00000026559.13	ENSG00000026559	KCNG1
ENSG00000026652.13	ENSG00000026652	AGPAT4
ENSG00000026950.16	ENSG00000026950	BTN3A1
ENSG00000027001.9	ENSG00000027001	MIPEP
ENSG00000027075.14	ENSG00000027075	PRKCH
ENSG00000027697.13	ENSG00000027697	IFNGR1
ENSG00000027847.13	ENSG00000027847	B4GALT7
ENSG00000028116.16	ENSG00000028116	VRK2
ENSG00000028137.18	ENSG00000028137	TNFRSF1B
ENSG00000028203.17	ENSG00000028203	VEZT
ENSG00000028277.21	ENSG00000028277	POU2F2
ENSG00000028310.17	ENSG00000028310	BRD9
ENSG00000028528.14	ENSG00000028528	SNX1
ENSG00000028839.9	ENSG00000028839	TBPL1
ENSG00000029153.14	ENSG00000029153	ARNTL2
ENSG00000029363.16	ENSG00000029363	BCLAF1
ENSG00000029364.11	ENSG00000029364	SLC39A9
ENSG00000029534.19	ENSG00000029534	ANK1
ENSG00000029639.10	ENSG00000029639	TFB1M
ENSG00000029725.16	ENSG00000029725	RABEP1
ENSG00000029993.14	ENSG00000029993	HMGB3
ENSG00000030066.13	ENSG00000030066	NUP160
ENSG00000030110.12	ENSG00000030110	BAK1
ENSG00000030419.16	ENSG00000030419	IKZF2
ENSG00000030582.17	ENSG00000030582	GRN
ENSG00000031003.10	ENSG00000031003	FAM13B
ENSG00000031081.10	ENSG00000031081	ARHGAP31
ENSG00000031691.6	ENSG00000031691	CENPQ
ENSG00000031698.12	ENSG00000031698	SARS
ENSG00000031823.14	ENSG00000031823	RANBP3
ENSG00000032219.18	ENSG00000032219	ARID4A
ENSG00000032389.12	ENSG00000032389	EIPR1
ENSG00000032444.15	ENSG00000032444	PNPLA6
ENSG00000032742.17	ENSG00000032742	IFT88
ENSG00000033011.11	ENSG00000033011	ALG1
ENSG00000033030.13	ENSG00000033030	ZCCHC8
ENSG00000033050.7	ENSG00000033050	ABCF2
ENSG00000033100.16	ENSG00000033100	CHPF2
ENSG00000033122.18	ENSG00000033122	LRRC7
ENSG00000033170.16	ENSG00000033170	FUT8
ENSG00000033178.12	ENSG00000033178	UBA6
ENSG00000033327.12	ENSG00000033327	GAB2
ENSG00000033627.16	ENSG00000033627	ATP6V0A1
ENSG00000033800.13	ENSG00000033800	PIAS1
ENSG00000033867.16	ENSG00000033867	SLC4A7
ENSG00000034053.14	ENSG00000034053	APBA2
ENSG00000034152.18	ENSG00000034152	MAP2K3
ENSG00000034239.10	ENSG00000034239	EFCAB1
ENSG00000034510.5	ENSG00000034510	TMSB10
ENSG00000034533.11	ENSG00000034533	ASTE1
ENSG00000034677.12	ENSG00000034677	RNF19A
ENSG00000034693.14	ENSG00000034693	PEX3
ENSG00000034713.7	ENSG00000034713	GABARAPL2
ENSG00000035115.21	ENSG00000035115	SH3YL1
ENSG00000035141.7	ENSG00000035141	FAM136A
ENSG00000035403.17	ENSG00000035403	VCL
ENSG00000035499.12	ENSG00000035499	DEPDC1B
ENSG00000035664.11	ENSG00000035664	DAPK2
ENSG00000035681.7	ENSG00000035681	NSMAF
ENSG00000035687.9	ENSG00000035687	ADSS
ENSG00000035862.12	ENSG00000035862	TIMP2
ENSG00000035928.15	ENSG00000035928	RFC1
ENSG00000036054.12	ENSG00000036054	TBC1D23
ENSG00000036257.12	ENSG00000036257	CUL3
ENSG00000036448.9	ENSG00000036448	MYOM2
ENSG00000036530.8	ENSG00000036530	CYP46A1
ENSG00000036549.12	ENSG00000036549	ZZZ3
ENSG00000036672.15	ENSG00000036672	USP2
ENSG00000037042.8	ENSG00000037042	TUBG2
ENSG00000037241.7	ENSG00000037241	RPL26L1
ENSG00000037280.15	ENSG00000037280	FLT4
ENSG00000037474.14	ENSG00000037474	NSUN2
ENSG00000037637.10	ENSG00000037637	FBXO42
ENSG00000037749.11	ENSG00000037749	MFAP3
ENSG00000037757.13	ENSG00000037757	MRI1
ENSG00000037897.16	ENSG00000037897	METTL1
ENSG00000038002.8	ENSG00000038002	AGA
ENSG00000038210.12	ENSG00000038210	PI4K2B
ENSG00000038219.12	ENSG00000038219	BOD1L1
ENSG00000038274.16	ENSG00000038274	MAT2B
ENSG00000038295.7	ENSG00000038295	TLL1
ENSG00000038358.14	ENSG00000038358	EDC4
ENSG00000038382.18	ENSG00000038382	TRIO
ENSG00000038427.15	ENSG00000038427	VCAN
ENSG00000038532.14	ENSG00000038532	CLEC16A
ENSG00000038945.14	ENSG00000038945	MSR1
ENSG00000039068.18	ENSG00000039068	CDH1
ENSG00000039123.15	ENSG00000039123	SKIV2L2
ENSG00000039139.9	ENSG00000039139	DNAH5
ENSG00000039319.16	ENSG00000039319	ZFYVE16
ENSG00000039523.19	ENSG00000039523	RIPOR1
ENSG00000039560.13	ENSG00000039560	RAI14
ENSG00000039650.11	ENSG00000039650	PNKP
ENSG00000040199.18	ENSG00000040199	PHLPP2
ENSG00000040275.16	ENSG00000040275	SPDL1
ENSG00000040341.17	ENSG00000040341	STAU2
ENSG00000040487.12	ENSG00000040487	PQLC2
ENSG00000040531.14	ENSG00000040531	CTNS
ENSG00000040608.13	ENSG00000040608	RTN4R
ENSG00000040633.12	ENSG00000040633	PHF23
ENSG00000040731.10	ENSG00000040731	CDH10
ENSG00000040933.15	ENSG00000040933	INPP4A
ENSG00000041353.9	ENSG00000041353	RAB27B
ENSG00000041357.15	ENSG00000041357	PSMA4
ENSG00000041515.15	ENSG00000041515	MYO16
ENSG00000041802.10	ENSG00000041802	LSG1
ENSG00000041880.14	ENSG00000041880	PARP3
ENSG00000041982.15	ENSG00000041982	TNC
ENSG00000041988.15	ENSG00000041988	THAP3
ENSG00000042062.11	ENSG00000042062	RIPOR3
ENSG00000042088.13	ENSG00000042088	TDP1
ENSG00000042286.14	ENSG00000042286	AIFM2
ENSG00000042317.16	ENSG00000042317	SPATA7
ENSG00000042429.11	ENSG00000042429	MED17
ENSG00000042445.13	ENSG00000042445	RETSAT
ENSG00000042493.15	ENSG00000042493	CAPG
ENSG00000042753.11	ENSG00000042753	AP2S1
ENSG00000042781.12	ENSG00000042781	USH2A
ENSG00000042832.11	ENSG00000042832	TG
ENSG00000042980.12	ENSG00000042980	ADAM28
ENSG00000043093.13	ENSG00000043093	DCUN1D1
ENSG00000043143.20	ENSG00000043143	JADE2
ENSG00000043355.11	ENSG00000043355	ZIC2
ENSG00000043462.11	ENSG00000043462	LCP2
ENSG00000043514.15	ENSG00000043514	TRIT1
ENSG00000043591.5	ENSG00000043591	ADRB1
ENSG00000044090.8	ENSG00000044090	CUL7
ENSG00000044115.20	ENSG00000044115	CTNNA1
ENSG00000044446.11	ENSG00000044446	PHKA2
ENSG00000044459.14	ENSG00000044459	CNTLN
ENSG00000044524.10	ENSG00000044524	EPHA3
ENSG00000044574.7	ENSG00000044574	HSPA5
ENSG00000046647.13	ENSG00000046647	GEMIN8
